index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price
8196,IndiGo,2023-04-18,Jaipur,Ahmedabad,JAI-LUC-NAG-AHM,00:50,23:35,11h 45min,2 stops,Business class available,13290
8197,Akasa Air,2020-04-10,Surat,Hyderabad,SUR-HYD,16:00,18:53,8h 15min,non-stop,No info,8008
8198,TruJet,2020-09-10,Jaipur,Delhi,JAI-BAN-PUN-RAI-DEL,14:53,20:52,13h 0min,3 stops,In-flight meal not included,11626
8199,GoAir,2020-05-22,Patna,Hyderabad,PAT-HYD,06:45,01:13,1h 15min,non-stop,Business class available,7611
8200,SpiceJet,2024-12-25,Cochin,Pune,COC-PUN,11:54,04:12,3h 0min,non-stop,1 Long layover,6088
8201,IndiGo,2019-04-15,Ahmedabad,Surat,AHM-BAN-IND-PUN-SUR,10:50,09:08,5h 45min,3 stops,Red-eye flight,7056
8202,Vistara,2025-10-02,Lucknow,Guwahati,LUC-BAN-COC-KOL-GUW,10:06,15:45,9h 0min,3 stops,Extra baggage allowed,10762
8203,SpiceJet,2022-04-22,Bhubaneswar,Cochin,BHU-COC,23:53,05:26,9h 0min,non-stop,Business class available,10874
8204,AirAsia India,2019-11-10,Ahmedabad,Lucknow,AHM-VAR-KOL-LUC,19:05,20:16,15h 0min,2 stops,No info,11344
8205,IndiGo,2023-08-28,Goa,Chennai,GOA-CHE,17:32,23:51,14h 45min,non-stop,New aircraft,3404
8206,Air India,2022-06-08,Goa,Varanasi,GOA-BHU-PUN-VAR,23:42,09:07,4h 30min,2 stops,1 Long layover,13040
8207,IndiGo,2019-10-26,Patna,Chennai,PAT-JAI-NAG-BAN-CHE,23:41,10:13,11h 30min,3 stops,Business class available,9361
8208,AirAsia India,2023-11-17,Nagpur,Jaipur,NAG-GOA-JAI,19:28,01:10,1h 0min,1 stop,WiFi available,4100
8209,TruJet,2020-09-22,Bangalore,Chennai,BAN-KOL-CHE,19:55,09:25,6h 0min,1 stop,New aircraft,10127
8210,Alliance Air,2021-06-10,Raipur,Nagpur,RAI-PUN-NAG,10:19,21:25,11h 30min,1 stop,In-flight meal not included,9615
8211,SpiceJet,2019-08-17,Nagpur,Bangalore,NAG-GOA-PAT-GUW-BAN,05:46,19:47,7h 15min,3 stops,WiFi available,15387
8212,Vistara,2022-03-21,Delhi,Guwahati,DEL-GUW,17:27,07:50,2h 45min,non-stop,Red-eye flight,11274
8213,Star Air,2021-06-16,Bhubaneswar,Patna,BHU-GUW-RAI-PAT,06:15,20:25,2h 0min,2 stops,Business class available,13528
8214,Alliance Air,2021-04-24,Hyderabad,Ahmedabad,HYD-BAN-AHM,13:37,22:42,8h 15min,1 stop,Limited seats,12199
8215,SpiceJet,2025-03-02,Surat,Raipur,SUR-RAI,06:13,04:16,11h 45min,non-stop,No info,3100
8216,GoAir,2025-01-01,Guwahati,Ahmedabad,GUW-AHM,13:55,23:10,7h 30min,non-stop,New aircraft,3695
8217,Alliance Air,2019-08-05,Hyderabad,Mumbai,HYD-GOA-MUM,15:52,10:29,1h 30min,1 stop,In-flight meal not included,12064
8218,Akasa Air,2025-05-09,Raipur,Indore,RAI-VAR-GOA-HYD-IND,21:45,06:21,3h 0min,3 stops,Red-eye flight,6608
8219,AirAsia India,2022-04-11,Bhubaneswar,Guwahati,BHU-DEL-GUW,18:26,06:29,3h 0min,1 stop,New aircraft,4261
8220,TruJet,2024-09-07,Guwahati,Ahmedabad,GUW-BAN-AHM,20:55,02:59,5h 45min,1 stop,Business class available,7103
8221,Akasa Air,2019-12-11,Chennai,Delhi,CHE-DEL,17:47,10:26,7h 45min,non-stop,Extra baggage allowed,6348
8222,SpiceJet,2021-08-13,Cochin,Ahmedabad,COC-AHM,08:09,16:49,3h 0min,non-stop,New aircraft,3745
8223,Akasa Air,2020-06-09,Cochin,Kolkata,COC-PAT-CHE-KOL,05:58,21:28,1h 0min,2 stops,No info,13577
8224,SpiceJet,2021-10-09,Cochin,Hyderabad,COC-BAN-HYD,06:56,13:43,15h 45min,1 stop,Limited seats,9455
8225,Vistara,2022-11-06,Pune,Indore,PUN-GOA-IND,06:51,20:23,9h 30min,1 stop,1 Long layover,4521
8226,Akasa Air,2024-07-03,Delhi,Indore,DEL-BAN-MUM-KOL-IND,15:48,18:00,14h 15min,3 stops,No info,7760
8227,Akasa Air,2019-09-09,Jaipur,Mumbai,JAI-NAG-GOA-MUM,05:29,16:08,5h 0min,2 stops,Business class available,11630
8228,Akasa Air,2021-09-19,Guwahati,Lucknow,GUW-LUC,11:06,12:20,6h 15min,non-stop,Extra baggage allowed,8915
8229,IndiGo,2021-09-23,Raipur,Surat,RAI-LUC-HYD-PUN-SUR,05:00,20:36,2h 15min,3 stops,1 Long layover,14896
8230,Air India,2023-02-26,Mumbai,Jaipur,MUM-JAI,08:09,06:52,10h 45min,non-stop,Business class available,4428
8231,GoAir,2025-08-09,Jaipur,Bangalore,JAI-COC-VAR-GUW-BAN,00:41,01:35,14h 45min,3 stops,No info,9760
8232,SpiceJet,2020-01-01,Surat,Delhi,SUR-DEL,16:43,17:38,15h 45min,non-stop,Extra baggage allowed,4096
8233,TruJet,2024-01-25,Indore,Pune,IND-NAG-COC-GUW-PUN,14:20,07:21,12h 0min,3 stops,Extra baggage allowed,15720
8234,SpiceJet,2021-08-21,Pune,Bangalore,PUN-BAN,15:26,11:53,9h 15min,non-stop,WiFi available,8669
8235,SpiceJet,2019-07-10,Varanasi,Lucknow,VAR-KOL-MUM-AHM-LUC,08:12,09:47,12h 15min,3 stops,Limited seats,12623
8236,Alliance Air,2022-07-03,Bangalore,Ahmedabad,BAN-HYD-AHM,06:30,02:43,6h 15min,1 stop,WiFi available,4232
8237,Vistara,2021-02-12,Pune,Surat,PUN-BAN-PAT-KOL-SUR,17:34,17:52,11h 0min,3 stops,Extra baggage allowed,9323
8238,IndiGo,2021-01-27,Kolkata,Cochin,KOL-SUR-BAN-RAI-COC,20:16,14:05,15h 30min,3 stops,WiFi available,15885
8239,SpiceJet,2025-02-03,Varanasi,Raipur,VAR-SUR-COC-GUW-RAI,18:25,23:33,15h 30min,3 stops,Red-eye flight,13648
8240,TruJet,2023-10-03,Delhi,Ahmedabad,DEL-CHE-AHM,13:31,16:38,6h 0min,1 stop,New aircraft,9052
8241,Alliance Air,2019-11-12,Bhubaneswar,Hyderabad,BHU-CHE-DEL-HYD,00:31,17:55,9h 15min,2 stops,Extra baggage allowed,12949
8242,IndiGo,2020-09-12,Guwahati,Bhubaneswar,GUW-LUC-BHU,10:55,04:57,6h 15min,1 stop,WiFi available,5173
8243,TruJet,2024-04-26,Guwahati,Pune,GUW-VAR-PUN,13:01,22:54,15h 15min,1 stop,Red-eye flight,9345
8244,IndiGo,2020-08-02,Goa,Kolkata,GOA-IND-RAI-KOL,05:11,11:44,2h 45min,2 stops,In-flight meal not included,6782
8245,Star Air,2025-05-24,Nagpur,Indore,NAG-IND,23:45,00:47,14h 45min,non-stop,New aircraft,11843
8246,Air India,2025-07-04,Varanasi,Indore,VAR-CHE-IND,21:01,09:29,3h 15min,1 stop,No info,6057
8247,Alliance Air,2020-01-08,Surat,Indore,SUR-MUM-RAI-IND,02:00,12:19,4h 15min,2 stops,WiFi available,7573
8248,TruJet,2024-06-28,Chennai,Kolkata,CHE-AHM-BHU-NAG-KOL,04:27,05:25,6h 30min,3 stops,Business class available,13829
8249,Air India,2025-11-26,Hyderabad,Ahmedabad,HYD-AHM,14:23,04:13,3h 15min,non-stop,New aircraft,7546
8250,IndiGo,2023-04-11,Delhi,Jaipur,DEL-COC-JAI,14:08,07:49,5h 45min,1 stop,Limited seats,6038
8251,Akasa Air,2024-06-11,Hyderabad,Nagpur,HYD-BAN-GOA-NAG,21:28,01:12,7h 15min,2 stops,WiFi available,13188
8252,Star Air,2025-04-12,Hyderabad,Goa,HYD-COC-PAT-JAI-GOA,23:20,23:39,13h 15min,3 stops,WiFi available,14708
8253,AirAsia India,2023-11-21,Patna,Bangalore,PAT-AHM-BHU-BAN,15:00,21:10,9h 0min,2 stops,1 Long layover,8705
8254,Akasa Air,2022-11-06,Bangalore,Pune,BAN-JAI-PUN,10:18,10:01,14h 30min,1 stop,WiFi available,8017
8255,Akasa Air,2024-06-04,Hyderabad,Lucknow,HYD-VAR-IND-DEL-LUC,09:08,07:09,11h 0min,3 stops,Red-eye flight,11631
8256,AirAsia India,2020-05-19,Surat,Raipur,SUR-DEL-GUW-RAI,03:01,17:57,9h 30min,2 stops,1 Long layover,10876
8257,TruJet,2024-04-02,Indore,Cochin,IND-COC,14:40,19:32,3h 15min,non-stop,Business class available,7503
8258,TruJet,2021-07-12,Ahmedabad,Kolkata,AHM-MUM-VAR-KOL,06:53,16:44,2h 30min,2 stops,Extra baggage allowed,11129
8259,TruJet,2024-06-11,Indore,Goa,IND-AHM-GOA,15:58,05:45,13h 45min,1 stop,Business class available,8656
8260,SpiceJet,2025-05-27,Raipur,Delhi,RAI-SUR-PUN-HYD-DEL,07:44,16:29,10h 45min,3 stops,No info,8921
8261,SpiceJet,2022-11-25,Hyderabad,Delhi,HYD-CHE-AHM-DEL,10:41,04:08,8h 45min,2 stops,Extra baggage allowed,7027
8262,TruJet,2022-12-25,Chennai,Hyderabad,CHE-LUC-BAN-AHM-HYD,07:44,10:05,10h 45min,3 stops,No info,17332
8263,Star Air,2022-10-24,Nagpur,Cochin,NAG-COC,08:22,22:24,3h 15min,non-stop,Extra baggage allowed,6250
8264,Alliance Air,2020-02-15,Varanasi,Indore,VAR-IND,14:32,04:07,7h 30min,non-stop,New aircraft,9579
8265,Star Air,2023-02-20,Goa,Nagpur,GOA-DEL-MUM-BHU-NAG,14:27,09:28,2h 15min,3 stops,Extra baggage allowed,13723
8266,GoAir,2019-09-07,Guwahati,Raipur,GUW-BAN-PUN-RAI,17:31,13:40,1h 30min,2 stops,Business class available,8044
8267,Akasa Air,2021-06-09,Indore,Jaipur,IND-SUR-DEL-JAI,17:05,01:28,8h 0min,2 stops,WiFi available,14985
8268,Alliance Air,2019-03-14,Goa,Nagpur,GOA-CHE-SUR-NAG,00:22,03:32,8h 30min,2 stops,Extra baggage allowed,6264
8269,IndiGo,2021-09-17,Pune,Indore,PUN-KOL-MUM-IND,00:59,21:43,7h 45min,2 stops,Business class available,8166
8270,Akasa Air,2023-05-21,Pune,Kolkata,PUN-KOL,23:18,05:46,5h 0min,non-stop,New aircraft,9774
8271,Star Air,2019-06-16,Pune,Varanasi,PUN-CHE-PAT-MUM-VAR,02:55,22:41,8h 0min,3 stops,New aircraft,11806
8272,AirAsia India,2020-03-25,Ahmedabad,Cochin,AHM-COC,04:43,05:48,13h 30min,non-stop,Limited seats,7826
8273,GoAir,2024-06-24,Bhubaneswar,Indore,BHU-VAR-SUR-BAN-IND,18:54,18:47,12h 30min,3 stops,Limited seats,10194
8274,Air India,2020-01-26,Nagpur,Cochin,NAG-VAR-COC,01:01,04:17,9h 30min,1 stop,New aircraft,9036
8275,Akasa Air,2024-08-13,Patna,Lucknow,PAT-LUC,17:02,13:27,5h 45min,non-stop,No info,4851
8276,SpiceJet,2019-06-15,Lucknow,Jaipur,LUC-GOA-JAI,21:27,06:03,8h 15min,1 stop,Red-eye flight,7669
8277,TruJet,2019-01-13,Nagpur,Pune,NAG-IND-DEL-GUW-PUN,15:08,07:23,9h 0min,3 stops,Extra baggage allowed,9211
8278,SpiceJet,2023-02-17,Ahmedabad,Kolkata,AHM-COC-JAI-GOA-KOL,10:11,02:03,5h 45min,3 stops,In-flight meal not included,10263
8279,SpiceJet,2023-09-07,Indore,Ahmedabad,IND-PUN-COC-AHM,08:19,16:32,2h 0min,2 stops,Business class available,11698
8280,Star Air,2020-04-24,Goa,Guwahati,GOA-GUW,08:57,06:57,5h 30min,non-stop,WiFi available,3093
8281,AirAsia India,2021-09-07,Raipur,Goa,RAI-JAI-VAR-AHM-GOA,16:06,17:21,6h 0min,3 stops,Business class available,9738
8282,Star Air,2025-03-02,Hyderabad,Chennai,HYD-IND-GOA-CHE,13:05,22:25,3h 0min,2 stops,Red-eye flight,5204
8283,Alliance Air,2023-06-12,Indore,Bhubaneswar,IND-MUM-JAI-RAI-BHU,14:57,22:30,9h 30min,3 stops,New aircraft,10044
8284,SpiceJet,2020-10-10,Patna,Bhubaneswar,PAT-BHU,15:42,04:46,1h 30min,non-stop,Limited seats,9677
8285,Star Air,2020-10-01,Bhubaneswar,Indore,BHU-CHE-AHM-IND,03:34,03:58,7h 45min,2 stops,Red-eye flight,14005
8286,Alliance Air,2021-06-19,Bhubaneswar,Kolkata,BHU-KOL,17:22,15:33,6h 45min,non-stop,New aircraft,10595
8287,SpiceJet,2020-12-08,Bhubaneswar,Cochin,BHU-COC,16:45,07:05,14h 15min,non-stop,Red-eye flight,8767
8288,Star Air,2019-03-05,Goa,Hyderabad,GOA-COC-CHE-HYD,19:20,17:39,10h 15min,2 stops,WiFi available,10316
8289,AirAsia India,2023-05-25,Guwahati,Pune,GUW-PUN,12:53,20:03,6h 0min,non-stop,In-flight meal not included,3299
8290,Alliance Air,2020-08-27,Kolkata,Surat,KOL-SUR,19:24,22:16,3h 45min,non-stop,WiFi available,5950
8291,SpiceJet,2025-08-07,Surat,Delhi,SUR-JAI-BAN-DEL,00:07,05:45,13h 45min,2 stops,In-flight meal not included,14051
8292,Star Air,2025-10-17,Raipur,Chennai,RAI-PUN-GUW-JAI-CHE,01:18,04:10,2h 45min,3 stops,In-flight meal not included,7204
8293,Star Air,2020-07-19,Bhubaneswar,Hyderabad,BHU-DEL-KOL-PAT-HYD,12:32,12:51,2h 45min,3 stops,Limited seats,12920
8294,Star Air,2020-02-20,Raipur,Chennai,RAI-JAI-LUC-GUW-CHE,23:48,07:12,4h 30min,3 stops,WiFi available,8805
8295,SpiceJet,2019-01-26,Ahmedabad,Jaipur,AHM-RAI-VAR-COC-JAI,15:14,10:02,7h 45min,3 stops,1 Long layover,14129
8296,Alliance Air,2024-12-17,Hyderabad,Bangalore,HYD-BAN,20:41,23:48,14h 30min,non-stop,New aircraft,10330
8297,AirAsia India,2020-11-05,Kolkata,Surat,KOL-SUR,19:53,20:42,4h 0min,non-stop,New aircraft,6170
8298,IndiGo,2022-02-08,Hyderabad,Delhi,HYD-GOA-DEL,07:17,01:48,1h 15min,1 stop,1 Long layover,5927
8299,AirAsia India,2024-02-07,Surat,Cochin,SUR-COC,10:06,02:05,9h 30min,non-stop,1 Long layover,6161
8300,AirAsia India,2021-06-07,Delhi,Hyderabad,DEL-VAR-MUM-HYD,06:04,23:51,8h 0min,2 stops,1 Long layover,10842
8301,Akasa Air,2023-03-10,Mumbai,Patna,MUM-PAT,00:06,21:51,2h 30min,non-stop,WiFi available,4926
8302,IndiGo,2025-03-03,Bhubaneswar,Hyderabad,BHU-HYD,23:06,13:30,13h 15min,non-stop,1 Long layover,3625
8303,Vistara,2020-07-13,Lucknow,Patna,LUC-SUR-KOL-MUM-PAT,13:36,15:17,15h 0min,3 stops,Business class available,11534
8304,Akasa Air,2023-06-01,Ahmedabad,Cochin,AHM-COC,22:31,05:18,2h 0min,non-stop,Red-eye flight,10094
8305,GoAir,2020-01-18,Bangalore,Bhubaneswar,BAN-HYD-GUW-BHU,12:37,06:02,5h 45min,2 stops,WiFi available,14441
8306,GoAir,2023-10-11,Hyderabad,Nagpur,HYD-NAG,17:57,08:25,7h 45min,non-stop,Red-eye flight,4345
8307,SpiceJet,2023-04-25,Indore,Guwahati,IND-KOL-CHE-COC-GUW,22:03,15:23,5h 45min,3 stops,New aircraft,14639
8308,AirAsia India,2025-08-25,Surat,Hyderabad,SUR-LUC-PAT-HYD,14:16,16:17,12h 30min,2 stops,Limited seats,9479
8309,TruJet,2022-02-05,Kolkata,Bhubaneswar,KOL-COC-GOA-LUC-BHU,16:44,10:35,8h 30min,3 stops,WiFi available,13692
8310,Star Air,2024-06-11,Jaipur,Chennai,JAI-RAI-BAN-DEL-CHE,05:50,12:21,3h 15min,3 stops,1 Long layover,13011
8311,Alliance Air,2025-06-26,Chennai,Hyderabad,CHE-VAR-IND-HYD,00:46,19:59,11h 15min,2 stops,WiFi available,9686
8312,SpiceJet,2019-12-17,Ahmedabad,Patna,AHM-CHE-PAT,08:19,09:03,1h 30min,1 stop,Red-eye flight,3425
8313,Alliance Air,2023-12-14,Pune,Kolkata,PUN-KOL,20:12,05:16,1h 0min,non-stop,New aircraft,6834
8314,TruJet,2022-09-06,Varanasi,Bangalore,VAR-GUW-AHM-CHE-BAN,20:33,16:26,12h 45min,3 stops,New aircraft,17522
8315,Akasa Air,2024-04-19,Kolkata,Guwahati,KOL-DEL-HYD-GUW,08:25,23:50,13h 45min,2 stops,Business class available,12249
8316,Star Air,2019-07-25,Jaipur,Cochin,JAI-GUW-NAG-COC,23:39,19:26,2h 45min,2 stops,Business class available,11688
8317,GoAir,2022-02-08,Raipur,Mumbai,RAI-BAN-MUM,10:46,18:09,4h 0min,1 stop,Extra baggage allowed,4067
8318,GoAir,2024-06-07,Lucknow,Raipur,LUC-RAI,15:44,17:20,9h 30min,non-stop,In-flight meal not included,3086
8319,Vistara,2023-12-18,Cochin,Guwahati,COC-GUW,02:41,11:04,6h 15min,non-stop,Limited seats,11622
8320,SpiceJet,2025-07-08,Delhi,Bangalore,DEL-IND-GOA-AHM-BAN,10:43,14:49,10h 0min,3 stops,Business class available,11253
8321,Air India,2021-03-10,Pune,Mumbai,PUN-MUM,22:46,02:26,4h 30min,non-stop,No info,5456
8322,Vistara,2022-08-06,Hyderabad,Cochin,HYD-COC,16:47,17:24,6h 30min,non-stop,Extra baggage allowed,3634
8323,AirAsia India,2021-02-03,Ahmedabad,Chennai,AHM-CHE,08:55,02:11,1h 15min,non-stop,New aircraft,10035
8324,Star Air,2020-03-04,Surat,Chennai,SUR-IND-DEL-AHM-CHE,11:04,19:11,2h 15min,3 stops,1 Long layover,15155
8325,Akasa Air,2025-09-23,Bangalore,Mumbai,BAN-AHM-NAG-CHE-MUM,05:05,04:17,15h 30min,3 stops,Limited seats,15610
8326,IndiGo,2025-10-24,Guwahati,Goa,GUW-LUC-GOA,12:01,17:45,7h 30min,1 stop,1 Long layover,3980
8327,GoAir,2025-05-25,Raipur,Varanasi,RAI-LUC-PAT-IND-VAR,05:28,18:05,11h 45min,3 stops,Limited seats,11573
8328,TruJet,2020-07-15,Guwahati,Bhubaneswar,GUW-JAI-AHM-BHU,23:01,17:05,1h 30min,2 stops,New aircraft,9692
8329,SpiceJet,2024-02-25,Patna,Goa,PAT-KOL-NAG-GOA,14:17,02:13,4h 15min,2 stops,New aircraft,9220
8330,Alliance Air,2020-09-03,Pune,Surat,PUN-PAT-DEL-SUR,15:10,10:03,14h 45min,2 stops,No info,13656
8331,SpiceJet,2024-05-28,Patna,Varanasi,PAT-CHE-KOL-DEL-VAR,16:39,15:24,14h 45min,3 stops,WiFi available,8472
8332,Alliance Air,2025-06-21,Jaipur,Pune,JAI-COC-PUN,03:07,20:04,9h 30min,1 stop,In-flight meal not included,7839
8333,GoAir,2020-02-09,Bhubaneswar,Patna,BHU-PAT,22:34,10:49,8h 0min,non-stop,Limited seats,10967
8334,Akasa Air,2019-10-08,Delhi,Ahmedabad,DEL-IND-LUC-PAT-AHM,16:55,22:05,5h 30min,3 stops,Business class available,12447
8335,GoAir,2021-03-14,Lucknow,Guwahati,LUC-SUR-RAI-GUW,01:29,04:21,11h 0min,2 stops,In-flight meal not included,4305
8336,Star Air,2023-01-20,Raipur,Guwahati,RAI-MUM-DEL-KOL-GUW,03:18,23:52,13h 30min,3 stops,Extra baggage allowed,12337
8337,Vistara,2021-08-04,Indore,Surat,IND-GOA-BAN-GUW-SUR,21:01,15:39,11h 0min,3 stops,In-flight meal not included,10548
8338,AirAsia India,2019-05-15,Indore,Guwahati,IND-AHM-GOA-GUW,18:39,16:29,15h 30min,2 stops,Business class available,6830
8339,Star Air,2021-05-27,Ahmedabad,Lucknow,AHM-BAN-BHU-LUC,13:31,04:57,4h 30min,2 stops,Limited seats,5356
8340,SpiceJet,2023-05-10,Mumbai,Bhubaneswar,MUM-GOA-BHU,08:29,10:39,6h 45min,1 stop,1 Long layover,11940
8341,GoAir,2021-08-03,Bangalore,Mumbai,BAN-BHU-AHM-JAI-MUM,22:02,19:35,13h 15min,3 stops,In-flight meal not included,16681
8342,IndiGo,2021-04-23,Patna,Kolkata,PAT-LUC-DEL-VAR-KOL,18:01,06:47,14h 0min,3 stops,Extra baggage allowed,8706
8343,SpiceJet,2020-03-01,Nagpur,Kolkata,NAG-BAN-HYD-KOL,10:14,21:29,6h 45min,2 stops,In-flight meal not included,9684
8344,SpiceJet,2023-08-06,Lucknow,Raipur,LUC-IND-AHM-RAI,11:29,14:16,2h 15min,2 stops,1 Long layover,12871
8345,Star Air,2020-07-16,Patna,Surat,PAT-IND-NAG-SUR,22:01,09:35,9h 15min,2 stops,No info,7934
8346,Akasa Air,2019-07-22,Bhubaneswar,Hyderabad,BHU-JAI-RAI-HYD,22:32,22:06,12h 30min,2 stops,In-flight meal not included,5542
8347,Alliance Air,2022-09-28,Goa,Patna,GOA-PAT,02:18,12:12,10h 45min,non-stop,Business class available,10343
8348,Star Air,2021-08-28,Hyderabad,Delhi,HYD-MUM-DEL,08:31,13:27,2h 45min,1 stop,No info,8166
8349,Alliance Air,2022-08-17,Bangalore,Guwahati,BAN-GOA-GUW,20:51,23:53,15h 30min,1 stop,Extra baggage allowed,6391
8350,GoAir,2024-12-12,Cochin,Chennai,COC-PUN-KOL-CHE,19:06,22:08,8h 45min,2 stops,Limited seats,8019
8351,Star Air,2020-10-02,Kolkata,Bhubaneswar,KOL-NAG-MUM-COC-BHU,14:06,04:47,10h 0min,3 stops,Business class available,16483
8352,IndiGo,2021-12-02,Hyderabad,Chennai,HYD-NAG-CHE,14:38,15:27,14h 30min,1 stop,In-flight meal not included,6256
8353,Alliance Air,2025-02-20,Raipur,Varanasi,RAI-KOL-SUR-BAN-VAR,06:17,07:57,9h 0min,3 stops,New aircraft,5672
8354,Alliance Air,2023-10-22,Goa,Nagpur,GOA-CHE-NAG,14:46,15:38,14h 15min,1 stop,No info,4841
8355,Alliance Air,2022-06-23,Mumbai,Guwahati,MUM-KOL-IND-BAN-GUW,03:08,22:46,12h 30min,3 stops,In-flight meal not included,15734
8356,AirAsia India,2019-08-14,Lucknow,Goa,LUC-JAI-HYD-NAG-GOA,18:19,03:21,7h 30min,3 stops,New aircraft,10640
8357,Akasa Air,2025-11-03,Indore,Delhi,IND-SUR-AHM-DEL,23:30,05:40,13h 30min,2 stops,Extra baggage allowed,8020
8358,SpiceJet,2022-06-04,Bangalore,Mumbai,BAN-LUC-CHE-IND-MUM,11:20,00:35,6h 30min,3 stops,Limited seats,15893
8359,Air India,2020-09-27,Goa,Patna,GOA-VAR-PAT,19:37,07:32,1h 45min,1 stop,Business class available,5302
8360,Alliance Air,2019-03-13,Mumbai,Lucknow,MUM-DEL-VAR-GUW-LUC,22:11,05:05,8h 30min,3 stops,Limited seats,12292
8361,Star Air,2019-06-16,Raipur,Ahmedabad,RAI-GUW-AHM,00:00,12:02,4h 30min,1 stop,No info,12165
8362,AirAsia India,2024-07-23,Ahmedabad,Bhubaneswar,AHM-PAT-PUN-SUR-BHU,18:14,23:13,14h 45min,3 stops,1 Long layover,14675
8363,AirAsia India,2021-05-09,Jaipur,Guwahati,JAI-AHM-CHE-NAG-GUW,21:04,02:01,15h 30min,3 stops,Red-eye flight,6964
8364,TruJet,2024-02-07,Raipur,Bhubaneswar,RAI-COC-LUC-BAN-BHU,21:19,08:14,8h 15min,3 stops,No info,15514
8365,TruJet,2024-07-04,Cochin,Lucknow,COC-HYD-LUC,08:04,07:05,6h 45min,1 stop,No info,12159
8366,Air India,2020-06-05,Goa,Cochin,GOA-MUM-COC,18:47,11:46,3h 15min,1 stop,WiFi available,11290
8367,GoAir,2025-08-01,Patna,Chennai,PAT-PUN-CHE,16:12,21:59,5h 45min,1 stop,No info,10489
8368,GoAir,2024-04-22,Hyderabad,Delhi,HYD-DEL,14:50,17:19,5h 30min,non-stop,Red-eye flight,4896
8369,Akasa Air,2025-11-08,Delhi,Indore,DEL-IND,07:46,09:32,7h 0min,non-stop,1 Long layover,3703
8370,TruJet,2024-08-11,Goa,Bhubaneswar,GOA-CHE-VAR-BHU,03:38,03:24,14h 0min,2 stops,Red-eye flight,13338
8371,GoAir,2023-08-03,Patna,Hyderabad,PAT-HYD,18:37,01:55,15h 15min,non-stop,1 Long layover,6437
8372,IndiGo,2021-07-27,Jaipur,Chennai,JAI-CHE,20:45,15:44,6h 45min,non-stop,Red-eye flight,3262
8373,GoAir,2020-01-24,Kolkata,Varanasi,KOL-VAR,20:49,06:24,15h 0min,non-stop,Limited seats,5613
8374,Air India,2019-06-07,Delhi,Bangalore,DEL-COC-NAG-BAN,20:20,08:43,4h 45min,2 stops,Red-eye flight,15089
8375,TruJet,2021-05-15,Guwahati,Mumbai,GUW-DEL-PUN-MUM,11:14,21:28,4h 30min,2 stops,1 Long layover,11369
8376,TruJet,2023-03-22,Cochin,Pune,COC-VAR-LUC-AHM-PUN,10:14,14:35,14h 30min,3 stops,1 Long layover,12975
8377,AirAsia India,2025-10-22,Raipur,Bhubaneswar,RAI-DEL-PUN-KOL-BHU,16:45,00:35,7h 15min,3 stops,Business class available,10594
8378,GoAir,2025-12-14,Patna,Mumbai,PAT-MUM,16:49,04:49,15h 45min,non-stop,In-flight meal not included,6674
8379,Akasa Air,2021-09-15,Mumbai,Ahmedabad,MUM-AHM,02:35,09:51,6h 15min,non-stop,Extra baggage allowed,6067
8380,Star Air,2023-01-07,Jaipur,Goa,JAI-COC-RAI-IND-GOA,18:17,07:40,12h 15min,3 stops,New aircraft,14977
8381,Air India,2025-07-13,Ahmedabad,Varanasi,AHM-VAR,20:37,22:11,15h 15min,non-stop,Business class available,11785
8382,SpiceJet,2021-12-07,Varanasi,Bhubaneswar,VAR-GUW-BHU,16:55,23:40,5h 45min,1 stop,Limited seats,8234
8383,Akasa Air,2023-07-07,Kolkata,Pune,KOL-BHU-SUR-PUN,07:00,05:05,8h 0min,2 stops,Red-eye flight,12697
8384,GoAir,2025-07-20,Nagpur,Surat,NAG-GUW-AHM-GOA-SUR,07:49,09:51,9h 45min,3 stops,In-flight meal not included,6689
8385,GoAir,2022-08-01,Jaipur,Varanasi,JAI-RAI-BHU-VAR,17:59,07:07,7h 0min,2 stops,No info,8519
8386,Air India,2021-09-26,Ahmedabad,Hyderabad,AHM-LUC-KOL-HYD,22:19,18:46,3h 30min,2 stops,New aircraft,11752
8387,GoAir,2023-10-15,Lucknow,Indore,LUC-IND,11:30,01:12,11h 45min,non-stop,Limited seats,6368
8388,GoAir,2020-12-23,Chennai,Pune,CHE-BHU-GOA-PUN,23:59,08:06,10h 30min,2 stops,No info,14562
8389,Vistara,2022-03-03,Kolkata,Goa,KOL-RAI-PUN-GOA,17:17,19:51,6h 0min,2 stops,No info,11897
8390,Alliance Air,2022-03-07,Cochin,Surat,COC-GOA-AHM-VAR-SUR,17:08,06:19,8h 30min,3 stops,Limited seats,7970
8391,TruJet,2020-02-27,Nagpur,Lucknow,NAG-IND-LUC,07:57,15:32,7h 0min,1 stop,Red-eye flight,8937
8392,Vistara,2020-11-15,Bhubaneswar,Indore,BHU-DEL-SUR-HYD-IND,12:14,06:10,10h 0min,3 stops,Extra baggage allowed,14223
8393,GoAir,2025-12-02,Chennai,Indore,CHE-GOA-LUC-DEL-IND,16:08,23:08,11h 0min,3 stops,1 Long layover,10232
8394,AirAsia India,2025-02-28,Lucknow,Bhubaneswar,LUC-BAN-PAT-VAR-BHU,04:17,03:37,4h 15min,3 stops,WiFi available,12931
